590, 18.99952, 12.41010113067577
1190, 36.19856, 5.976275542710526
1790, 39.89084, 7.539537283839108
2390, 72.2343, 8.75312408457689
2990, 123.67352000000001, 20.934140436464066
3590, 160.9589, 16.262237647630165
4190, 216.5837, 22.592551176084566
4790, 303.04872, 31.981681386030974
5390, 388.74429999999995, 26.50923579366256
5990, 490.74138000000005, 44.15265461905547
6590, 623.53764, 49.61117420822048
7190, 728.62772, 60.28249636136181
7790, 866.18418, 63.114824886310174
8390, 1025.6160799999998, 75.2479325358883
8990, 1158.45042, 85.43110063405253
9590, 1447.16534, 88.51992373784782
10190, 1781.09166, 83.7083400090958
10790, 2027.75298, 140.9705833317348
11390, 2310.6463799999997, 218.28588634167252
11990, 2918.7885400000005, 414.2903287509598
12590, 2922.677, 201.4714766018157
13190, 3310.89948, 191.3285284172373
13790, 3664.91944, 194.40105015622314
14390, 3993.5144400000004, 180.00013849134228
14990, 4416.62038, 220.55121160468278
15590, 5029.40104, 218.4509335050378
16190, 4605.77744, 223.52721302193703
16790, 6624.675659999999, 601.298502585907
17390, 6950.00472, 737.4592282365618
17990, 6009.16818, 273.35917141541364
